Temperature,Soil,Nitrogen,Phosphorus,Potassium,Crop,Fertilizer
0,Loamy,23,6,23,kidneybeans,15-15-15
10,Black,100,60,60,cotton,Magnesium Sulphate
10,Black,100,60,65,cotton,DAP
10,Black,100,60,70,cotton,12:32:16 NPK
10,Black,100,60,75,cotton,Magnesium Sulphate
10,Black,100,60,80,cotton,DAP
10,Black,105,60,60,cotton,Magnesium Sulphate
10,Black,105,60,65,cotton,DAP
10,Black,105,60,70,cotton,12:32:16 NPK
10,Black,105,60,75,cotton,Magnesium Sulphate
10,Black,105,60,80,cotton,DAP
10,Black,110,60,60,cotton,Magnesium Sulphate
10,Black,110,60,65,cotton,DAP
10,Black,110,60,70,cotton,12:32:16 NPK
10,Black,110,60,75,cotton,Magnesium Sulphate
10,Black,110,60,80,cotton,DAP
10,Black,115,60,60,cotton,Magnesium Sulphate
10,Black,115,60,65,cotton,DAP
10,Black,115,60,70,cotton,12:32:16 NPK
10,Black,115,60,75,cotton,Magnesium Sulphate
10,Black,115,60,80,cotton,DAP
10,Black,120,60,60,cotton,Magnesium Sulphate
10,Black,120,60,65,cotton,DAP
10,Black,120,60,70,cotton,12:32:16 NPK
10,Black,120,60,75,cotton,Magnesium Sulphate
10,Black,120,60,80,cotton,DAP
12,Loamy,8,6,16,orange,14-14-14
12,Sandy,11,5,14,orange,10-10-10
15,Black,30,40,20,gram,DAP
15,Black,30,40,30,gram,DAP
15,Black,30,45,30,gram,MOP
15,Black,30,50,25,gram,DAP
15,Black,30,50,30,gram,DAP
15,Black,35,40,20,gram,DAP
15,Black,35,40,30,gram,DAP
15,Black,35,45,30,gram,MOP
15,Black,35,50,25,gram,DAP
15,Black,35,50,30,gram,DAP
15,Black,40,40,20,gram,DAP
15,Black,40,40,30,gram,DAP
15,Black,40,45,30,gram,MOP
15,Black,40,50,25,gram,DAP
15,Black,40,50,30,gram,DAP
15,Black,60,40,40,wheat,19:19:19 NPK
15,Black,60,40,55,wheat,Urea
15,Black,60,45,40,wheat,19:19:19 NPK
15,Black,60,45,50,wheat,Urea
15,Black,60,50,60,wheat,19:19:19 NPK
15,Black,60,55,45,wheat,Urea
15,Black,60,55,55,wheat,19:19:19 NPK
15,Black,60,60,40,wheat,Urea
15,Black,60,60,55,wheat,19:19:19 NPK
15,Black,65,40,40,wheat,19:19:19 NPK
15,Black,65,40,55,wheat,Urea
15,Black,65,45,40,wheat,19:19:19 NPK
15,Black,65,45,50,wheat,Urea
15,Black,65,50,60,wheat,19:19:19 NPK
15,Black,65,55,45,wheat,Urea
15,Black,65,55,55,wheat,19:19:19 NPK
15,Black,65,60,40,wheat,Urea
15,Black,65,60,55,wheat,19:19:19 NPK
15,Black,70,40,40,wheat,19:19:19 NPK
15,Black,70,40,55,wheat,Urea
15,Black,70,45,40,wheat,19:19:19 NPK
15,Black,70,45,50,wheat,Urea
15,Black,70,50,60,wheat,19:19:19 NPK
15,Black,70,55,45,wheat,Urea
15,Black,70,55,55,wheat,19:19:19 NPK
15,Black,70,60,40,wheat,Urea
15,Black,70,60,55,wheat,19:19:19 NPK
15,Black,75,40,40,wheat,19:19:19 NPK
15,Black,75,40,55,wheat,Urea
15,Black,75,45,40,wheat,19:19:19 NPK
15,Black,75,45,50,wheat,Urea
15,Black,75,50,60,wheat,19:19:19 NPK
15,Black,75,55,45,wheat,Urea
15,Black,75,55,55,wheat,19:19:19 NPK
15,Black,75,60,40,wheat,Urea
15,Black,75,60,55,wheat,19:19:19 NPK
15,Black,80,40,40,wheat,19:19:19 NPK
15,Black,80,40,55,wheat,Urea
15,Black,80,45,40,wheat,19:19:19 NPK
15,Black,80,45,50,wheat,Urea
15,Black,80,50,60,wheat,19:19:19 NPK
15,Black,80,55,45,wheat,Urea
15,Black,80,55,55,wheat,19:19:19 NPK
15,Black,80,60,40,wheat,Urea
15,Black,80,60,55,wheat,19:19:19 NPK
15,Black,100,40,40,wheat,19:19:19 NPK
15,Black,100,40,50,wheat,19:19:19 NPK
15,Black,100,40,60,wheat,19:19:19 NPK
15,Black,100,45,50,wheat,Urea
15,Black,100,45,60,wheat,Urea
15,Black,100,55,40,wheat,19:19:19 NPK
15,Black,100,55,50,wheat,19:19:19 NPK
15,Black,100,55,55,wheat,19:19:19 NPK
15,Black,100,60,40,wheat,Urea
15,Black,100,60,50,wheat,Urea
15,Black,100,65,60,cotton,DAP
15,Black,100,65,65,cotton,Magnesium Sulphate
15,Black,100,65,70,cotton,DAP
15,Black,100,65,75,cotton,12:32:16 NPK
15,Black,100,65,80,cotton,Magnesium Sulphate
15,Black,105,40,40,wheat,19:19:19 NPK
15,Black,105,40,50,wheat,19:19:19 NPK
15,Black,105,40,60,wheat,19:19:19 NPK
15,Black,105,45,50,wheat,Urea
15,Black,105,45,60,wheat,Urea
15,Black,105,55,40,wheat,19:19:19 NPK
15,Black,105,55,50,wheat,19:19:19 NPK
15,Black,105,55,55,wheat,19:19:19 NPK
15,Black,105,60,40,wheat,Urea
15,Black,105,60,50,wheat,Urea
15,Black,105,65,60,cotton,DAP
15,Black,105,65,65,cotton,Magnesium Sulphate
15,Black,105,65,70,cotton,DAP
15,Black,105,65,75,cotton,12:32:16 NPK
15,Black,105,65,80,cotton,Magnesium Sulphate
15,Black,110,40,40,wheat,19:19:19 NPK
15,Black,110,40,50,wheat,19:19:19 NPK
15,Black,110,40,60,wheat,19:19:19 NPK
15,Black,110,45,50,wheat,Urea
15,Black,110,45,60,wheat,Urea
15,Black,110,55,40,wheat,19:19:19 NPK
15,Black,110,55,50,wheat,19:19:19 NPK
15,Black,110,55,55,wheat,19:19:19 NPK
15,Black,110,60,40,wheat,Urea
15,Black,110,60,50,wheat,Urea
15,Black,110,65,60,cotton,DAP
15,Black,110,65,65,cotton,Magnesium Sulphate
15,Black,110,65,70,cotton,DAP
15,Black,110,65,75,cotton,12:32:16 NPK
15,Black,110,65,80,cotton,Magnesium Sulphate
15,Black,115,40,40,wheat,19:19:19 NPK
15,Black,115,40,50,wheat,19:19:19 NPK
15,Black,115,40,60,wheat,19:19:19 NPK
15,Black,115,45,50,wheat,Urea
15,Black,115,45,60,wheat,Urea
15,Black,115,55,40,wheat,19:19:19 NPK
15,Black,115,55,50,wheat,19:19:19 NPK
15,Black,115,55,55,wheat,19:19:19 NPK
15,Black,115,60,40,wheat,Urea
15,Black,115,60,50,wheat,Urea
15,Black,115,65,60,cotton,DAP
