Temperature,Soil,Nitrogen,Phosphorus,Potassium,Crop,Fertilizer,Crop_Specific_Recommendations,Recommendation_ID
0,Loamy,23,6,23,kidneybeans,15-15-15,"Nitrogen is low for kidneybeans. Apply urea or composted manure.
Phosphorus is low for kidneybeans. Use superphosphate or bone meal.
Potassium is low for kidneybeans. Apply muriate of potash or banana peels.",0
10,Black,100,60,60,cotton,Magnesium Sulphate,All nutrient levels are optimal for cotton. No action required.,1
10,Black,100,60,65,cotton,DAP,All nutrient levels are optimal for cotton. No action required.,1
10,Black,100,60,70,cotton,12:32:16 NPK,All nutrient levels are optimal for cotton. No action required.,1
10,Black,100,60,75,cotton,Magnesium Sulphate,Potassium is high for cotton. Avoid potassium-based fertilizers.,2
10,Black,100,60,80,cotton,DAP,Potassium is high for cotton. Avoid potassium-based fertilizers.,2
10,Black,105,60,60,cotton,Magnesium Sulphate,Nitrogen is high for cotton. Reduce nitrogen-based fertilizers.,3
10,Black,105,60,65,cotton,DAP,Nitrogen is high for cotton. Reduce nitrogen-based fertilizers.,3
10,Black,105,60,70,cotton,12:32:16 NPK,Nitrogen is high for cotton. Reduce nitrogen-based fertilizers.,3
10,Black,105,60,75,cotton,Magnesium Sulphate,"Nitrogen is high for cotton. Reduce nitrogen-based fertilizers.
Potassium is high for cotton. Avoid potassium-based fertilizers.",4
10,Black,105,60,80,cotton,DAP,"Nitrogen is high for cotton. Reduce nitrogen-based fertilizers.
Potassium is high for cotton. Avoid potassium-based fertilizers.",4
10,Black,110,60,60,cotton,Magnesium Sulphate,Nitrogen is high for cotton. Reduce nitrogen-based fertilizers.,3
10,Black,110,60,65,cotton,DAP,Nitrogen is high for cotton. Reduce nitrogen-based fertilizers.,3
10,Black,110,60,70,cotton,12:32:16 NPK,Nitrogen is high for cotton. Reduce nitrogen-based fertilizers.,3
10,Black,110,60,75,cotton,Magnesium Sulphate,"Nitrogen is high for cotton. Reduce nitrogen-based fertilizers.
Potassium is high for cotton. Avoid potassium-based fertilizers.",4
10,Black,110,60,80,cotton,DAP,"Nitrogen is high for cotton. Reduce nitrogen-based fertilizers.
Potassium is high for cotton. Avoid potassium-based fertilizers.",4
10,Black,115,60,60,cotton,Magnesium Sulphate,Nitrogen is high for cotton. Reduce nitrogen-based fertilizers.,3
10,Black,115,60,65,cotton,DAP,Nitrogen is high for cotton. Reduce nitrogen-based fertilizers.,3
10,Black,115,60,70,cotton,12:32:16 NPK,Nitrogen is high for cotton. Reduce nitrogen-based fertilizers.,3
10,Black,115,60,75,cotton,Magnesium Sulphate,"Nitrogen is high for cotton. Reduce nitrogen-based fertilizers.
Potassium is high for cotton. Avoid potassium-based fertilizers.",4
10,Black,115,60,80,cotton,DAP,"Nitrogen is high for cotton. Reduce nitrogen-based fertilizers.
Potassium is high for cotton. Avoid potassium-based fertilizers.",4
10,Black,120,60,60,cotton,Magnesium Sulphate,Nitrogen is high for cotton. Reduce nitrogen-based fertilizers.,3
10,Black,120,60,65,cotton,DAP,Nitrogen is high for cotton. Reduce nitrogen-based fertilizers.,3
10,Black,120,60,70,cotton,12:32:16 NPK,Nitrogen is high for cotton. Reduce nitrogen-based fertilizers.,3
10,Black,120,60,75,cotton,Magnesium Sulphate,"Nitrogen is high for cotton. Reduce nitrogen-based fertilizers.
Potassium is high for cotton. Avoid potassium-based fertilizers.",4
10,Black,120,60,80,cotton,DAP,"Nitrogen is high for cotton. Reduce nitrogen-based fertilizers.
Potassium is high for cotton. Avoid potassium-based fertilizers.",4
12,Loamy,8,6,16,orange,14-14-14,"Nitrogen is low for orange. Apply urea or composted manure.
Phosphorus is low for orange. Use superphosphate or bone meal.
Potassium is low for orange. Apply muriate of potash or banana peels.",5
12,Sandy,11,5,14,orange,10-10-10,"Nitrogen is low for orange. Apply urea or composted manure.
Phosphorus is low for orange. Use superphosphate or bone meal.
Potassium is low for orange. Apply muriate of potash or banana peels.",5
15,Black,30,40,20,gram,DAP,Potassium is low for gram. Apply muriate of potash or banana peels.,6
15,Black,30,40,30,gram,DAP,All nutrient levels are optimal for gram. No action required.,7
15,Black,30,45,30,gram,MOP,All nutrient levels are optimal for gram. No action required.,7
15,Black,30,50,25,gram,DAP,Potassium is low for gram. Apply muriate of potash or banana peels.,6
15,Black,30,50,30,gram,DAP,All nutrient levels are optimal for gram. No action required.,7
15,Black,35,40,20,gram,DAP,Potassium is low for gram. Apply muriate of potash or banana peels.,6
15,Black,35,40,30,gram,DAP,All nutrient levels are optimal for gram. No action required.,7
15,Black,35,45,30,gram,MOP,All nutrient levels are optimal for gram. No action required.,7
15,Black,35,50,25,gram,DAP,Potassium is low for gram. Apply muriate of potash or banana peels.,6
15,Black,35,50,30,gram,DAP,All nutrient levels are optimal for gram. No action required.,7
15,Black,40,40,20,gram,DAP,Potassium is low for gram. Apply muriate of potash or banana peels.,6
15,Black,40,40,30,gram,DAP,All nutrient levels are optimal for gram. No action required.,7
15,Black,40,45,30,gram,MOP,All nutrient levels are optimal for gram. No action required.,7
15,Black,40,50,25,gram,DAP,Potassium is low for gram. Apply muriate of potash or banana peels.,6
15,Black,40,50,30,gram,DAP,All nutrient levels are optimal for gram. No action required.,7
15,Black,60,40,40,wheat,19:19:19 NPK,All nutrient levels are optimal for wheat. No action required.,8
15,Black,60,40,55,wheat,Urea,All nutrient levels are optimal for wheat. No action required.,8
15,Black,60,45,40,wheat,19:19:19 NPK,All nutrient levels are optimal for wheat. No action required.,8
15,Black,60,45,50,wheat,Urea,All nutrient levels are optimal for wheat. No action required.,8
15,Black,60,50,60,wheat,19:19:19 NPK,All nutrient levels are optimal for wheat. No action required.,8
15,Black,60,55,45,wheat,Urea,All nutrient levels are optimal for wheat. No action required.,8
15,Black,60,55,55,wheat,19:19:19 NPK,All nutrient levels are optimal for wheat. No action required.,8
15,Black,60,60,40,wheat,Urea,All nutrient levels are optimal for wheat. No action required.,8
15,Black,60,60,55,wheat,19:19:19 NPK,All nutrient levels are optimal for wheat. No action required.,8
15,Black,65,40,40,wheat,19:19:19 NPK,All nutrient levels are optimal for wheat. No action required.,8
15,Black,65,40,55,wheat,Urea,All nutrient levels are optimal for wheat. No action required.,8
15,Black,65,45,40,wheat,19:19:19 NPK,All nutrient levels are optimal for wheat. No action required.,8
15,Black,65,45,50,wheat,Urea,All nutrient levels are optimal for wheat. No action required.,8
15,Black,65,50,60,wheat,19:19:19 NPK,All nutrient levels are optimal for wheat. No action required.,8
15,Black,65,55,45,wheat,Urea,All nutrient levels are optimal for wheat. No action required.,8
15,Black,65,55,55,wheat,19:19:19 NPK,All nutrient levels are optimal for wheat. No action required.,8
15,Black,65,60,40,wheat,Urea,All nutrient levels are optimal for wheat. No action required.,8
15,Black,65,60,55,wheat,19:19:19 NPK,All nutrient levels are optimal for wheat. No action required.,8
15,Black,70,40,40,wheat,19:19:19 NPK,All nutrient levels are optimal for wheat. No action required.,8
15,Black,70,40,55,wheat,Urea,All nutrient levels are optimal for wheat. No action required.,8
15,Black,70,45,40,wheat,19:19:19 NPK,All nutrient levels are optimal for wheat. No action required.,8
15,Black,70,45,50,wheat,Urea,All nutrient levels are optimal for wheat. No action required.,8
15,Black,70,50,60,wheat,19:19:19 NPK,All nutrient levels are optimal for wheat. No action required.,8
15,Black,70,55,45,wheat,Urea,All nutrient levels are optimal for wheat. No action required.,8
15,Black,70,55,55,wheat,19:19:19 NPK,All nutrient levels are optimal for wheat. No action required.,8
15,Black,70,60,40,wheat,Urea,All nutrient levels are optimal for wheat. No action required.,8
15,Black,70,60,55,wheat,19:19:19 NPK,All nutrient levels are optimal for wheat. No action required.,8
15,Black,75,40,40,wheat,19:19:19 NPK,All nutrient levels are optimal for wheat. No action required.,8
15,Black,75,40,55,wheat,Urea,All nutrient levels are optimal for wheat. No action required.,8
15,Black,75,45,40,wheat,19:19:19 NPK,All nutrient levels are optimal for wheat. No action required.,8
15,Black,75,45,50,wheat,Urea,All nutrient levels are optimal for wheat. No action required.,8
15,Black,75,50,60,wheat,19:19:19 NPK,All nutrient levels are optimal for wheat. No action required.,8
15,Black,75,55,45,wheat,Urea,All nutrient levels are optimal for wheat. No action required.,8
15,Black,75,55,55,wheat,19:19:19 NPK,All nutrient levels are optimal for wheat. No action required.,8
15,Black,75,60,40,wheat,Urea,All nutrient levels are optimal for wheat. No action required.,8
15,Black,75,60,55,wheat,19:19:19 NPK,All nutrient levels are optimal for wheat. No action required.,8
15,Black,80,40,40,wheat,19:19:19 NPK,All nutrient levels are optimal for wheat. No action required.,8
15,Black,80,40,55,wheat,Urea,All nutrient levels are optimal for wheat. No action required.,8
15,Black,80,45,40,wheat,19:19:19 NPK,All nutrient levels are optimal for wheat. No action required.,8
15,Black,80,45,50,wheat,Urea,All nutrient levels are optimal for wheat. No action required.,8
15,Black,80,50,60,wheat,19:19:19 NPK,All nutrient levels are optimal for wheat. No action required.,8
15,Black,80,55,45,wheat,Urea,All nutrient levels are optimal for wheat. No action required.,8
15,Black,80,55,55,wheat,19:19:19 NPK,All nutrient levels are optimal for wheat. No action required.,8
15,Black,80,60,40,wheat,Urea,All nutrient levels are optimal for wheat. No action required.,8
15,Black,80,60,55,wheat,19:19:19 NPK,All nutrient levels are optimal for wheat. No action required.,8
15,Black,100,40,40,wheat,19:19:19 NPK,Nitrogen is high for wheat. Reduce nitrogen-based fertilizers.,9
15,Black,100,40,50,wheat,19:19:19 NPK,Nitrogen is high for wheat. Reduce nitrogen-based fertilizers.,9
15,Black,100,40,60,wheat,19:19:19 NPK,Nitrogen is high for wheat. Reduce nitrogen-based fertilizers.,9
15,Black,100,45,50,wheat,Urea,Nitrogen is high for wheat. Reduce nitrogen-based fertilizers.,9
15,Black,100,45,60,wheat,Urea,Nitrogen is high for wheat. Reduce nitrogen-based fertilizers.,9
