Temperature,Soil,Nitrogen,Phosphorus,Potassium,Crop,Fertilizer
31,Loamy,109,25,122,cotton,DAP
33,Loamy,185,13,158,cotton,DAP
30,Clay,119,35,24,cotton,MOP
34,Sandy,4,56,150,cotton,Urea
24,Sandy,198,31,58,cotton,NPK 14-14-14
30,Black,114,30,100,cotton,NPK 14-14-14
31,Loamy,106,22,17,cotton,DAP
25,Black,69,76,101,cotton,Urea
20,Sandy,57,5,116,cotton,Urea
35,Clay,196,41,3,cotton,MOP
28,Clay,195,2,35,cotton,DAP
22,Black,96,50,21,cotton,MOP
28,Clay,184,78,112,cotton,NPK 14-14-14
22,Clay,178,6,94,cotton,DAP
34,Sandy,26,10,111,cotton,Urea
20,Sandy,138,43,80,cotton,NPK 14-14-14
20,Loamy,153,45,117,cotton,NPK 14-14-14
30,Clay,163,59,59,cotton,NPK 14-14-14
26,Sandy,95,78,134,cotton,NPK 14-14-14
27,Loamy,106,18,140,cotton,DAP
35,Black,79,99,94,cotton,Urea
34,Clay,166,20,102,cotton,DAP
33,Loamy,119,3,156,cotton,DAP
26,Loamy,190,38,83,cotton,NPK 14-14-14
28,Sandy,134,89,104,cotton,NPK 14-14-14
21,Loamy,110,17,80,cotton,DAP
21,Loamy,181,35,95,cotton,NPK 14-14-14
24,Sandy,128,45,42,cotton,MOP
20,Clay,177,82,167,cotton,NPK 14-14-14
21,Sandy,109,39,102,cotton,NPK 14-14-14
27,Sandy,199,74,55,cotton,NPK 14-14-14
25,Sandy,145,45,126,cotton,NPK 14-14-14
22,Sandy,179,32,67,cotton,NPK 14-14-14
32,Sandy,156,7,146,cotton,DAP
30,Clay,96,34,174,cotton,NPK 14-14-14
28,Black,30,31,28,cotton,Urea
29,Black,88,23,49,cotton,DAP
32,Loamy,195,33,45,cotton,MOP
27,Loamy,171,99,188,cotton,NPK 14-14-14
29,Clay,146,99,197,cotton,NPK 14-14-14
32,Loamy,85,52,156,cotton,NPK 14-14-14
35,Clay,58,79,152,cotton,Urea
26,Sandy,117,48,116,cotton,NPK 14-14-14
31,Black,18,62,98,cotton,Urea
28,Clay,108,9,51,cotton,DAP
24,Loamy,98,78,167,cotton,NPK 14-14-14
31,Sandy,143,56,64,cotton,NPK 14-14-14
22,Sandy,164,37,83,cotton,NPK 14-14-14
24,Sandy,161,88,35,cotton,MOP
33,Clay,134,63,189,cotton,NPK 14-14-14
20,Black,100,89,22,cotton,MOP
26,Clay,65,65,196,cotton,Urea
25,Black,147,4,100,cotton,DAP
24,Black,177,7,159,cotton,DAP
20,Black,137,31,62,cotton,NPK 14-14-14
34,Clay,126,12,196,cotton,DAP
27,Loamy,183,99,157,cotton,NPK 14-14-14
32,Loamy,97,28,52,cotton,DAP
30,Sandy,184,80,133,cotton,NPK 14-14-14
29,Loamy,188,51,141,cotton,NPK 14-14-14
29,Loamy,41,39,167,cotton,Urea
35,Black,102,33,180,cotton,NPK 14-14-14
22,Sandy,136,33,190,cotton,NPK 14-14-14
26,Clay,73,17,126,cotton,Urea
28,Loamy,180,18,160,cotton,DAP
22,Loamy,123,46,179,cotton,NPK 14-14-14
27,Sandy,40,97,119,cotton,Urea
26,Black,108,77,62,cotton,NPK 14-14-14
35,Sandy,67,33,188,cotton,Urea
21,Loamy,79,52,60,cotton,Urea
29,Loamy,190,74,148,cotton,NPK 14-14-14
23,Loamy,136,28,86,cotton,DAP
27,Black,83,15,81,cotton,DAP
22,Black,161,34,186,cotton,NPK 14-14-14
26,Sandy,171,99,38,cotton,MOP
24,Black,179,28,15,cotton,DAP
29,Clay,85,85,128,cotton,NPK 14-14-14
29,Loamy,125,99,44,cotton,MOP
20,Clay,126,95,118,cotton,NPK 14-14-14
34,Clay,107,79,100,cotton,NPK 14-14-14
21,Black,141,85,16,cotton,MOP
23,Sandy,38,89,129,cotton,Urea
35,Sandy,162,20,133,cotton,DAP
33,Sandy,162,75,62,cotton,NPK 14-14-14
20,Loamy,107,70,49,cotton,MOP
27,Sandy,109,84,101,cotton,NPK 14-14-14
32,Black,166,83,119,cotton,NPK 14-14-14
28,Clay,57,73,52,cotton,Urea
21,Black,138,12,43,cotton,DAP
27,Clay,99,65,148,cotton,NPK 14-14-14
28,Clay,179,95,123,cotton,NPK 14-14-14
21,Sandy,130,40,99,cotton,NPK 14-14-14
35,Black,89,9,30,cotton,DAP
29,Loamy,129,6,99,cotton,DAP
26,Black,159,22,91,cotton,DAP
31,Sandy,95,96,74,cotton,NPK 14-14-14
27,Loamy,139,80,94,cotton,NPK 14-14-14
23,Black,137,68,115,cotton,NPK 14-14-14
27,Sandy,123,49,186,cotton,NPK 14-14-14
21,Black,49,51,169,cotton,Urea
32,Clay,124,87,39,cotton,MOP
28,Loamy,124,33,70,cotton,NPK 14-14-14
33,Clay,158,7,110,cotton,DAP
34,Black,96,13,100,cotton,DAP
33,Sandy,195,69,174,cotton,NPK 14-14-14
31,Loamy,84,42,130,cotton,NPK 14-14-14
30,Loamy,80,51,29,cotton,MOP
27,Loamy,172,37,94,cotton,NPK 14-14-14
33,Black,135,20,171,cotton,DAP
24,Loamy,34,92,59,cotton,Urea
23,Black,131,90,92,cotton,NPK 14-14-14
28,Sandy,73,45,11,cotton,Urea
24,Clay,160,85,69,cotton,NPK 14-14-14
25,Clay,138,28,199,cotton,DAP
21,Loamy,25,23,5,cotton,Urea
28,Black,66,44,24,cotton,Urea
30,Clay,166,27,169,cotton,DAP
35,Clay,166,11,106,cotton,DAP
30,Sandy,134,33,160,cotton,NPK 14-14-14
29,Loamy,2,17,82,cotton,Urea
22,Loamy,109,8,85,cotton,DAP
31,Black,198,5,12,cotton,DAP
29,Sandy,112,83,63,cotton,NPK 14-14-14
26,Black,171,83,129,cotton,NPK 14-14-14
21,Sandy,182,69,183,cotton,NPK 14-14-14
30,Sandy,168,12,125,cotton,DAP
35,Loamy,81,44,183,cotton,NPK 14-14-14
22,Clay,151,18,22,cotton,DAP
28,Loamy,85,52,160,cotton,NPK 14-14-14
27,Clay,157,41,154,cotton,NPK 14-14-14
25,Loamy,85,14,1,cotton,DAP
24,Sandy,122,47,102,cotton,NPK 14-14-14
31,Black,126,26,166,cotton,DAP
23,Clay,132,65,44,cotton,MOP
32,Clay,175,36,142,cotton,NPK 14-14-14
32,Black,99,53,96,cotton,NPK 14-14-14
31,Black,90,43,138,cotton,NPK 14-14-14
20,Clay,119,63,13,cotton,MOP
23,Sandy,86,12,62,cotton,DAP
26,Sandy,193,47,110,cotton,NPK 14-14-14
29,Loamy,169,62,168,cotton,NPK 14-14-14
21,Black,26,31,112,cotton,Urea
27,Clay,58,85,186,cotton,Urea
31,Loamy,94,81,113,cotton,NPK 14-14-14
25,Sandy,137,22,89,cotton,DAP
25,Loamy,196,73,58,cotton,NPK 14-14-14
20,Loamy,195,14,185,cotton,DAP
25,Loamy,122,60,197,cotton,NPK 14-14-14
20,Black,73,73,82,cotton,Urea
31,Loamy,103,40,34,cotton,MOP
26,Loamy,23,75,10,cotton,Urea
34,Loamy,137,79,68,cotton,NPK 14-14-14
21,Black,134,10,121,cotton,DAP
24,Loamy,144,79,28,cotton,MOP
23,Black,51,76,14,cotton,Urea
22,Clay,85,61,30,cotton,MOP
34,Sandy,172,42,135,cotton,NPK 14-14-14
30,Loamy,141,5,168,cotton,DAP
30,Loamy,175,51,110,cotton,NPK 14-14-14
28,Loamy,157,98,195,cotton,NPK 14-14-14
27,Black,180,78,31,cotton,MOP
33,Black,97,31,183,cotton,NPK 14-14-14
29,Sandy,81,45,114,cotton,NPK 14-14-14
27,Sandy,71,8,52,cotton,Urea
29,Loamy,98,17,54,cotton,DAP
30,Sandy,111,42,167,cotton,NPK 14-14-14
22,Sandy,144,58,131,cotton,NPK 14-14-14
24,Clay,126,32,113,cotton,NPK 14-14-14
21,Clay,197,58,172,cotton,NPK 14-14-14
34,Loamy,24,84,127,cotton,Urea
